ExtractID,ExtractDate,ExtractedBy,ExtractType,ExtractKit,SampleID,ExtractConcentration,ExtractBox,ExtractNotes
HDZ-056-E1,2/29/2024,"WJ, MB",DNA,Quick-DNA Fecal/Soil Microbe,HDZ-056,0.279,HDZ Loris DNA Extracts Box 1,"Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24"
HDZ-059-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-059,0.278,HDZ Loris DNA Extracts Box 1,
HDZ-061-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-061,0.206,HDZ Loris DNA Extracts Box 1,
HDZ-062-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-062,0.209,HDZ Loris DNA Extracts Box 1,
HDZ-068-E1,2/29/2024,"WJ, MB",DNA,Quick-DNA Fecal/Soil Microbe,HDZ-068,4.78,HDZ Loris DNA Extracts Box 1,"Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24"
HDZ-070-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-070,7.5,HDZ Loris DNA Extracts Box 1,
HDZ-072-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-072,11,HDZ Loris DNA Extracts Box 1,
HDZ-075-E1,2/29/2024,"WJ, MB",DNA,Quick-DNA Fecal/Soil Microbe,HDZ-075,0.121,HDZ Loris DNA Extracts Box 1,"Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24"
HDZ-076-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-076,1.41,HDZ Loris DNA Extracts Box 1,
HDZ-077-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-077,28,HDZ Loris DNA Extracts Box 2,
HDZ-078-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-078,5.6,HDZ Loris DNA Extracts Box 1,
HDZ-079-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-079,1.47,HDZ Loris DNA Extracts Box 1,
HDZ-074-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-074,LOW,HDZ Loris DNA Extracts Box 2,DNA conc lower than std
HDZ-080-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-080,LOW,HDZ Loris DNA Extracts Box 2,DNA conc lower than std
HDZ-081-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-081,65,HDZ Loris DNA Extracts Box 2,
HDZ-082-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-082,79,HDZ Loris DNA Extracts Box 2,
HDZ-083-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-083,56,HDZ Loris DNA Extracts Box 2,
HDZ-084-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-084,11,HDZ Loris DNA Extracts Box 2,
HDZ-085-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-085,94,HDZ Loris DNA Extracts Box 2,
HDZ-086-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-086,83,HDZ Loris DNA Extracts Box 2,
HDZ-087-E1,4/3/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-087,34,HDZ Loris DNA Extracts Box 2,
HDZ-088-E1,4/3/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-088,46,HDZ Loris DNA Extracts Box 2,
HDZ-089-E1,4/3/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-089,25,HDZ Loris DNA Extracts Box 1,
HDZ-090-E1,4/3/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-090,56,HDZ Loris DNA Extracts Box 2,
HDZ-091-E1,4/3/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-091,52,HDZ Loris DNA Extracts Box 2,
HDZ-092-E1,4/3/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-092,44,HDZ Loris DNA Extracts Box 2,
HDZ-093-E1,4/3/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-093,25,HDZ Loris DNA Extracts Box 1,
HDZ-094-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-094,25,HDZ Loris DNA Extracts Box 2,
HDZ-096-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-096,41,HDZ Loris DNA Extracts Box 2,
HDZ-097-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-097,83,HDZ Loris DNA Extracts Box 2,
HDZ-098-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-098,47,HDZ Loris DNA Extracts Box 2,
HDZ-099-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-099,32,HDZ Loris DNA Extracts Box 2,
HDZ-101-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-101,20,HDZ Loris DNA Extracts Box 2,
HDZ-102-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-102,32,HDZ Loris DNA Extracts Box 2,
HDZ-103-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-103,46,HDZ Loris DNA Extracts Box 2,
HDZ-036-E1,4/8/2024,WJ/MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-036,29,HDZ Loris DNA Extracts Box 2,
HDZ-045-E1,4/8/2024,WJ/MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-045,7.2,HDZ Loris DNA Extracts Box 2,
HDZ-052-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-052,7.5,HDZ Loris DNA Extracts Box 2,
HDZ-060-E1,4/8/2024,WJ/MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-060,35,HDZ Loris DNA Extracts Box 2,
HDZ-104-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-104,26,HDZ Loris DNA Extracts Box 2,
HDZ-105-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-105,39,HDZ Loris DNA Extracts Box 2,
HDZ-106-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-106,40,HDZ Loris DNA Extracts Box 2,
HDZ-107-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-107,17,HDZ Loris DNA Extracts Box 2,
HDZ-108-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-108,21,HDZ Loris DNA Extracts Box 2,
HDZ-109-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-109,43,HDZ Loris DNA Extracts Box 2,
HDZ-155-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-155,25,HDZ Loris DNA Extracts Box 2,
HDZ-156-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-156,25,HDZ Loris DNA Extracts Box 2,
HDZ-157-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-157,57,HDZ Loris DNA Extracts Box 2,
HDZ-161-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-161,34,HDZ Loris DNA Extracts Box 2,
HDZ-162-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-162,41,HDZ Loris DNA Extracts Box 2,
HDZ-163-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-163,40,HDZ Loris DNA Extracts Box 2,
HDZ-167-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-167,75,HDZ Loris DNA Extracts Box 2,
HDZ-168-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-168,20,HDZ Loris DNA Extracts Box 2,
HDZ-169-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-169,45,HDZ Loris DNA Extracts Box 2,
HDZ-170-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-170,46,HDZ Loris DNA Extracts Box 2,
HDZ-173-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-173,53,HDZ Loris DNA Extracts Box 2,
HDZ-174-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-174,52,HDZ Loris DNA Extracts Box 2,
HDZ-175-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-175,22,HDZ Loris DNA Extracts Box 2,
HDZ-176-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-176,7.7,HDZ Loris DNA Extracts Box 2,
HDZ-177-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-177,4.89,HDZ Loris DNA Extracts Box 2,
HDZ-179-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-179,32,HDZ Loris DNA Extracts Box 2,
HDZ-180-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-180,26,HDZ Loris DNA Extracts Box 2,
HDZ-181-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-181,33,HDZ Loris DNA Extracts Box 2,
HDZ-182-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-182,13,HDZ Loris DNA Extracts Box 2,
HDZ-183-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-183,41,HDZ Loris DNA Extracts Box 2,
HDZ-184-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-184,53,HDZ Loris DNA Extracts Box 2,
HDZ-186-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-186,33,HDZ Loris DNA Extracts Box 2,
HDZ-187-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-187,32,HDZ Loris DNA Extracts Box 2,
HDZ-188-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-188,24,HDZ Loris DNA Extracts Box 2,
HDZ-190-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-190,20,HDZ Loris DNA Extracts Box 2,
HDZ-191-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-191,18,HDZ Loris DNA Extracts Box 2,
HDZ-192-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-192,33,HDZ Loris DNA Extracts Box 2,
HDZ-217-E1,5/2/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-217,72,HDZ Loris DNA Extracts Box 2,
HDZ-218-E1,5/2/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-218,58,HDZ Loris DNA Extracts Box 2,
HDZ-219-E1,5/2/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-219,37,HDZ Loris DNA Extracts Box 2,
HDZ-220-E1,5/2/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-220,42,HDZ Loris DNA Extracts Box 2,
HDZ-221-E1,5/2/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-221,76,HDZ Loris DNA Extracts Box 2,
HDZ-193-E1,5/20/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-193,26,HDZ Loris DNA Extracts Box 3,
HDZ-194-E1,5/20/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-194,53,HDZ Loris DNA Extracts Box 3,
HDZ-195-E1,5/20/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-195,61,HDZ Loris DNA Extracts Box 3,
HDZ-196-E1,5/20/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-196,33,HDZ Loris DNA Extracts Box 3,
HDZ-197-E1,5/20/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-197,58,HDZ Loris DNA Extracts Box 3,
HDZ-198-E1,5/20/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-198,70,HDZ Loris DNA Extracts Box 3,
HDZ-199-E1,5/20/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-199,52,HDZ Loris DNA Extracts Box 3,
HDZ-200-E1,5/30/2024,SA/ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-200,36,HDZ Loris DNA Extracts Box 3,
HDZ-201-E1,5/30/2024,SA/ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-201,>100,HDZ Loris DNA Extracts Box 3,
HDZ-202-E1,5/30/2024,SA/ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-202,>100,HDZ Loris DNA Extracts Box 3,
HDZ-209-E1,6/6/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-209,40,HDZ Loris DNA Extracts Box 3,
HDZ-210-E1,6/6/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-210,38,HDZ Loris DNA Extracts Box 3,
HDZ-211-E1,6/6/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-211,24,HDZ Loris DNA Extracts Box 3,
HDZ-212-E1,6/6/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-212,42,HDZ Loris DNA Extracts Box 3,
HDZ-222-E1,6/6/2024,SA/ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-222,8.5,HDZ Loris DNA Extracts Box 3,
HDZ-203-E1,6/13/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-203,70,HDZ Loris DNA Extracts Box 3,
HDZ-204-E1,6/13/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-204,43,HDZ Loris DNA Extracts Box 3,
HDZ-205-E1,6/13/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-205,21,HDZ Loris DNA Extracts Box 3,
HDZ-206-E1,6/13/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-206,48,HDZ Loris DNA Extracts Box 3,
HDZ-207-E1,6/13/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-207,12,HDZ Loris DNA Extracts Box 3,
HDZ-208-E1,6/13/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-208,11,HDZ Loris DNA Extracts Box 3,
HDZ-213-E1,6/14/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-213,31,HDZ Loris DNA Extracts Box 3,
HDZ-215-E1,6/14/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-215,11,HDZ Loris DNA Extracts Box 3,
HDZ-301-E1,6/14/2024,SA/EK,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-301,9.2,HDZ Loris DNA Extracts Box 3,
HDZ-302-E1,6/14/2024,SA/EK,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-302,18,HDZ Loris DNA Extracts Box 3,
HDZ-303-E1,6/14/2024,SA/EK,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-303,16,HDZ Loris DNA Extracts Box 3,
HDZ-304-E1,6/14/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-304,1.29,HDZ Loris DNA Extracts Box 3,
HDZ-305-E1,6/14/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-305,40,HDZ Loris DNA Extracts Box 3,
HDZ-306-E1,6/14/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-306,4.28,HDZ Loris DNA Extracts Box 3,
HDZ-307-E1,6/18/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-307,19,HDZ Loris DNA Extracts Box 3,
HDZ-308-E1,6/18/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-308,37,HDZ Loris DNA Extracts Box 3,
HDZ-309-E1,6/18/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-309,49,HDZ Loris DNA Extracts Box 3,
HDZ-310-E1,6/18/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-310,45,HDZ Loris DNA Extracts Box 3,
HDZ-311-E1,6/18/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-311,46,HDZ Loris DNA Extracts Box 3,
HDZ-312-E1,6/18/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-312,33,HDZ Loris DNA Extracts Box 3,
HDZ-223-E1,6/20/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-223,77,HDZ Loris DNA Extracts Box 3,
HDZ-224-E1,6/20/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-224,66,HDZ Loris DNA Extracts Box 3,
HDZ-226-E1,6/20/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-226,42,HDZ Loris DNA Extracts Box 3,
HDZ-313-E1,6/20/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-313,45,HDZ Loris DNA Extracts Box 3,
