SampleID	CollectionDate	Subject	Subj_Certainty	SampleCollectedBy	SampleNotes	n_dna_extractions	n_rna_extractions	n_seq_16s	ExtractID_RNA	ExtractDate_RNA	ExtractedBy_RNA	ExtractKit_RNA	ExtractBox_RNA	ExtractNotes_RNA	ExtractConc_RNA	ExtractID_DNA	ExtractDate_DNA	ExtractedBy_DNA	ExtractKit_DNA	ExtractBox_DNA	ExtractNotes_DNA	ExtractConc_DNA	SequenceID	Seq_16sDate	Pipeline	LibraryTube	LibraryBarcode	LibraryFinalConc	LibraryPoolVol_ul	LibraryCode
HDZ-038	2023-11-12	Culi	yes	HDZ Keepers		1	1	1	HDZ-038-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-038-E1	2024-01-06	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		90	HDZ-038-S45	2024-06-10	16S	23	16S23	1	2	PL002
HDZ-039	2023-11-14	Culi	yes	HDZ Keepers		1	1	1	HDZ-039-E2	2024-01-25	MB	Quick-DNA/RNA MagBead			NA	HDZ-039-E1	2024-01-24	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		11	HDZ-039-S33	2024-06-10	16S	10	16S10	7	1	PL002
HDZ-040	2023-11-09	Culi	yes	HDZ Keepers		1	1	1	HDZ-040-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-040-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		83	HDZ-040-S187	2024-08-16	16S	3	16S3	NA	NA	PL009
HDZ-041	2023-11-13	Warble	yes	HDZ Keepers		1	1	1	HDZ-041-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-041-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		15	HDZ-041-S53	2024-06-12	16S	7	16S7	1	3	PL003
HDZ-042	2023-11-13	Culi	yes	HDZ Keepers		1	1	1	HDZ-042-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-042-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		67	HDZ-042-S188	2024-08-16	16S	4	16S4	NA	NA	PL009
HDZ-043	2023-11-17	Culi	yes	HDZ Keepers		1	1	0	HDZ-043-E2	2024-01-25	MB	Quick-DNA/RNA MagBead			NA	HDZ-043-E1	2024-01-24	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		0	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-044	2023-11-19	Warble	no	HDZ Keepers		1	1	1	HDZ-044-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-044-E1	2024-02-12	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		97	HDZ-044-S189	2024-08-16	16S	5	16S5	NA	NA	PL009
HDZ-045	2023-11-07	Warble	yes	HDZ Keepers		1	1	1	HDZ-045-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-045-E1	2024-04-08	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		7	HDZ-045-S49	2024-06-12	16S	3	16S3	1	3	PL003
HDZ-046	2023-11-14	Culi	yes	HDZ Keepers		1	1	1	HDZ-046-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-046-E1	2024-01-06	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		6	HDZ-046-S48	2024-06-12	16S	2	16S2	1	6	PL003
HDZ-047	2023-11-15	Culi	yes	HDZ Keepers		1	1	1	HDZ-047-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-047-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		94	HDZ-047-S190	2024-08-16	16S	6	16S6	NA	NA	PL009
HDZ-048	2023-11-16	Warble	yes	HDZ Keepers		1	1	0	HDZ-048-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-048-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		0	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-049	2023-11-18	Warble	no	HDZ Keepers		1	1	1	HDZ-049-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-049-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		52	HDZ-049-E1-S346	2024-09-20	16S	1	16S1	NA	NA	PL016
HDZ-050	2023-11-08	Warble	yes	HDZ Keepers		1	1	1	HDZ-050-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-050-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		56	HDZ-050-S232	2024-08-21	16S	2	16S2	NA	NA	PL011
HDZ-051	2023-11-14	Warble	yes	HDZ Keepers		1	1	1	HDZ-051-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-051-E1	2024-01-06	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		17	HDZ-051-S54	2024-06-12	16S	8	16S8	5	1	PL003
HDZ-052	2023-11-13	Warble	yes	HDZ Keepers		1	1	1	HDZ-052-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-052-E1	2024-04-08	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		8	HDZ-052-S50	2024-06-12	16S	4	16S4	2	2	PL003
HDZ-053	2023-11-18	Culi	yes	HDZ Keepers		1	1	1	HDZ-053-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-053-E1	2024-02-12	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		104	HDZ-053-S191	2024-08-16	16S	7	16S7	NA	NA	PL009
HDZ-054	2023-11-19	Culi	yes	HDZ Keepers		1	1	1	HDZ-054-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-054-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		66	HDZ-054-S192	2024-08-16	16S	8	16S8	NA	NA	PL009
HDZ-055	NA	Unknown	no	HDZ Keepers	No date or name on tube, gathered from zoo on 12/13 (AMR)	1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-055-E1	2024-02-25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		49	HDZ-055-S22	2024-05-16	16S	22	16S22	3	2	PL001
HDZ-056	2023-11-29	Culi	yes	HDZ Keepers		1	0	0	NA	NA	NA	NA	NA	NA	NA	HDZ-056-E1	2024-02-29	WJ, MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24	0	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-057	2023-11-26	Culi	yes	HDZ Keepers		1	1	1	HDZ-057-E2	2024-01-25	MB	Quick-DNA/RNA MagBead			NA	HDZ-057-E1	2024-01-24	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		77	HDZ-057-S233	2024-08-21	16S	3	16S3	NA	NA	PL011
HDZ-058	2023-11-21	Culi	yes	HDZ Keepers		1	1	1	HDZ-058-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-058-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		25	HDZ-058-S63	2024-06-12	16S	17	16S17	4	1	PL003
HDZ-059	2023-11-20	Culi	yes	HDZ Keepers		1	1	0	HDZ-059-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-059-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		0	NA	NA	NA	NA	NA	NA	NA	NA
